Jurisdiction,Year,Measure,Unit,Quantity
NSW,2013-14,Energy intensity,GJ/$ million,2431.816
NSW,2013-14,Energy productivity,$ million/PJ,411.215
NSW,2013-14,GDP,$ million,627736
NSW,2013-14,Population,Number,7897152
NSW,2014-15,Energy consumption,PJ,1478.836
NSW,2014-15,Energy consumption per capita,GJ/person,184.578
NSW,2014-15,Energy intensity,GJ/$ million,2292.602
NSW,2014-15,Energy productivity,$ million/PJ,436.186
NSW,2014-15,GDP,$ million,645047
NSW,2014-15,Population,Number,8011981
NSW,2015-16,Energy consumption,PJ,1524.256
NSW,2015-16,Energy consumption per capita,GJ/person,187.348
NSW,2015-16,Energy intensity,GJ/$ million,2277.181
NSW,2015-16,Energy productivity,$ million/PJ,439.139
NSW,2015-16,GDP,$ million,669361
NSW,2015-16,Population,Number,8135962
NSW,2016-17,Energy consumption,PJ,1533.049
NSW,2016-17,Energy consumption per capita,GJ/person,185.367
NSW,2016-17,Energy intensity,GJ/$ million,2231.13
NSW,2016-17,Energy productivity,$ million/PJ,448.203
NSW,2016-17,GDP,$ million,687118
NSW,2016-17,Population,Number,8270362
NSW,2017-18,Energy consumption,PJ,1564.673
NSW,2017-18,Energy consumption per capita,GJ/person,186.703
NSW,2017-18,Energy intensity,GJ/$ million,2224.651
NSW,2017-18,Energy productivity,$ million/PJ,449.509
NSW,2017-18,GDP,$ million,703334
NSW,2017-18,Population,Number,8380557
NSW,2018-19,Energy consumption,PJ,1555.625
NSW,2018-19,Energy consumption per capita,GJ/person,183.393
NSW,2018-19,Energy intensity,GJ/$ million,2153.454
NSW,2018-19,Energy productivity,$ million/PJ,464.37
NSW,2018-19,GDP,$ million,722386
NSW,2018-19,Population,Number,8482478
NSW,2019-20,Energy consumption,PJ,1477.818
NSW,2019-20,Energy consumption per capita,GJ/person,172.733
NSW,2019-20,Energy intensity,GJ/$ million,2060.898
NSW,2019-20,Energy productivity,$ million/PJ,485.225
NSW,2019-20,GDP,$ million,717075
NSW,2019-20,Population,Number,8555513
NSW,2020-21,Energy consumption,PJ,1401.642
NSW,2020-21,Energy consumption per capita,GJ/person,163.943
NSW,2020-21,Energy intensity,GJ/$ million,1909.177
NSW,2020-21,Energy productivity,$ million/PJ,523.786
NSW,2020-21,GDP,$ million,734160
NSW,2020-21,Population,Number,8549570
NSW,2021-22,Energy consumption,PJ,1374.387
NSW,2021-22,Energy consumption per capita,GJ/person,159.375
NSW,2021-22,Energy intensity,GJ/$ million,1824.031
NSW,2021-22,Energy productivity,$ million/PJ,548.236
NSW,2021-22,GDP,$ million,753489
NSW,2021-22,Population,Number,8623619
NSW,2022-23,Energy consumption,PJ,1439.191
NSW,2022-23,Energy consumption per capita,GJ/person,163.332
NSW,2022-23,Energy intensity,GJ/$ million,1840.741
NSW,2022-23,Energy productivity,$ million/PJ,543.259
NSW,2022-23,GDP,$ million,781854
NSW,2022-23,Population,Number,8811429
NT,2004-05,Energy consumption,PJ,61.536
NT,2004-05,Energy consumption per capita,GJ/person,298.855
NT,2004-05,Energy intensity,GJ/$ million,3388.161
NT,2004-05,Energy productivity,$ million/PJ,295.145
NT,2004-05,GDP,$ million,18162
NT,2004-05,Population,Number,205905
NT,2005-06,Energy consumption,PJ,72.998
NT,2005-06,Energy consumption per capita,GJ/person,349.179
NT,2005-06,Energy intensity,GJ/$ million,3771.349
NT,2005-06,Energy productivity,$ million/PJ,265.157
NT,2005-06,GDP,$ million,19356
NT,2005-06,Population,Number,209057
